País,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Ano,Continente
Tailândia,72,74,62,56,43,35,52,48,49,56,62,76,2017,Ásia
Taiwan,95,97,82,74,57,47,69,63,65,74,82,100,2017,Ásia
Alemanha,5325,5459,4617,4131,3193,2614,3857,3563,3649,4144,4598,5632,2017,Europa
Áustria,718,737,623,557,431,353,520,481,492,559,620,760,2017,Europa
Bélgica,727,745,630,564,436,357,526,486,498,565,627,769,2017,Europa
Bulgária,88,91,77,69,53,43,64,59,61,69,76,94,2017,Europa
Croácia,112,115,97,87,67,55,81,75,77,87,97,119,2017,Europa
Dinamarca,638,654,553,495,383,313,462,427,437,497,551,675,2017,Europa
Eslováquia,79,81,68,61,47,39,57,53,54,61,68,83,2017,Europa
Eslovênia,61,63,53,47,37,30,44,41,42,48,53,65,2017,Europa
Espanha,2955,3029,2562,2293,1772,1451,2140,1977,2025,2300,2552,3126,2017,Europa
Estônia,35,36,30,27,21,17,25,23,24,27,30,37,2017,Europa
Finlândia,229,235,199,178,138,113,166,153,157,178,198,243,2017,Europa
França,8221,8427,7128,6378,4930,4035,5954,5501,5633,6398,7098,8695,2017,Europa
Grécia,173,178,150,135,104,85,126,116,119,135,150,183,2017,Europa
Holanda,1778,1823,1542,1380,1066,873,1288,1190,1219,1384,1536,1881,2017,Europa
Hungria,113,116,98,88,68,55,82,76,77,88,98,120,2017,Europa
Irlanda,410,420,355,318,246,201,297,274,281,319,354,433,2017,Europa
Itália,3882,3979,3366,3012,2328,1906,2812,2598,2660,3021,3352,4106,2017,Europa
Letônia,40,41,35,31,24,20,29,27,28,31,35,42,2017,Europa
Lituânia,62,63,54,48,37,30,45,41,42,48,53,65,2017,Europa
Luxemburgo,76,78,66,59,45,37,55,51,52,59,65,80,2017,Europa
Noruega,856,877,742,664,513,420,620,572,586,666,739,905,2017,Europa
Polônia,1025,1050,888,795,614,503,742,686,702,797,885,1084,2017,Europa
Portugal,4348,4457,3770,3373,2607,2134,3149,2909,2979,3384,3754,4599,2017,Europa
Reino Unido,7184,7365,6230,5574,4308,3527,5204,4807,4923,5591,6203,7599,2017,Europa
República Tcheca,163,167,141,126,98,80,118,109,112,127,141,172,2017,Europa
Romênia,208,213,180,161,125,102,151,139,143,162,180,220,2017,Europa
Rússia,760,780,659,590,456,373,551,509,521,592,657,804,2017,Europa
Sérvia,71,73,61,55,43,35,51,47,49,55,61,75,2017,Europa
Suécia,820,841,711,636,492,403,594,549,562,638,708,868,2017,Europa
Suíça,1645,1686,1426,1276,986,807,1191,1101,1127,1280,1420,1740,2017,Europa
Turquia,276,283,240,214,166,136,200,185,189,215,239,292,2017,Europa
Ucrânia,170,174,148,132,102,84,123,114,117,132,147,180,2017,Europa
Austrália,1184,1214,1027,919,710,581,858,792,811,922,1022,1252,2017,Oceania
Nova Zelândia,256,263,222,199,154,126,186,172,176,200,221,271,2017,Oceania
África do Sul,188,219,284,258,150,169,108,134,161,192,222,575,2018,África
Angola,254,314,394,243,299,203,207,450,269,172,219,187,2018,África
Cabo Verde,3,14,1,1,5,2,12,11,8,13,5,24,2018,África
Egito,41,71,57,40,25,19,74,39,41,61,31,42,2018,África
Gana,3,12,13,3,4,8,5,2,4,13,5,3,2018,África
Marrocos,201,305,276,259,91,86,165,549,178,186,167,334,2018,África
Moçambique,85,75,29,43,21,23,18,11,32,97,91,97,2018,África
Nigéria,4,6,19,11,10,92,27,14,16,119,13,16,2018,África
Quênia,2,8,26,6,9,4,8,1,4,60,28,19,2018,África
Tunísia,30,90,90,50,29,38,44,51,73,80,70,61,2018,África
Costa Rica,249,140,254,231,151,138,186,200,208,344,337,395,2018,América Central e Caribe
Cuba,32,32,69,34,45,39,70,65,42,44,74,66,2018,América Central e Caribe
El Salvador,37,43,115,42,56,49,58,78,77,135,104,81,2018,América Central e Caribe
Guatemala,79,106,236,84,125,123,45,89,171,208,197,244,2018,América Central e Caribe
Haiti,14,16,10,17,8,22,14,34,36,26,21,34,2018,América Central e Caribe
Honduras,32,45,39,25,29,18,31,32,68,165,58,82,2018,América Central e Caribe
Nicarágua,12,13,25,29,17,29,8,14,41,31,34,28,2018,América Central e Caribe
Panamá,192,155,192,138,135,132,114,174,273,250,470,232,2018,América Central e Caribe
República Dominicana,22,31,51,34,23,39,41,76,72,528,92,47,2018,América Central e Caribe
Trinidad e Tobago,13,17,12,13,19,23,30,23,65,19,31,16,2018,América Central e Caribe
Canadá,737,854,761,499,436,366,1042,1608,1182,676,728,1256,2018,América do Norte
Estados Unidos,6565,11312,11991,8175,8683,7856,9873,11891,8638,8233,9589,14932,2018,América do Norte
México,578,1089,1502,887,834,715,1053,852,820,983,940,961,2018,América do Norte
Argentina,65789,49135,52422,35576,19619,14534,27619,23575,27936,27103,29587,44710,2018,América do Sul
Bolívia,117,82,69,66,92,67,269,111,160,109,109,164,2018,América do Sul
Chile,19444,19946,11223,9339,9217,7864,12358,10156,12412,13548,12717,15681,2018,América do Sul
Colômbia,1676,1653,3421,2026,2499,3457,2329,3078,3485,4401,4148,4098,2018,América do Sul
Equador,184,449,534,453,538,430,387,1061,782,1027,676,479,2018,América do Sul
Guiana,4,6,2,6,4,3,6,2,31,12,5,6,2018,América do Sul
Guiana Francesa,0,0,0,0,0,0,0,0,0,0,0,0,2018,América do Sul
Paraguai,745,550,509,259,501,287,301,402,298,276,254,580,2018,América do Sul
Peru,1689,2011,2619,1818,1968,1547,1803,2225,1806,2260,2120,2316,2018,América do Sul
Suriname,2,0,2,3,2,0,3,5,1,3,0,4,2018,América do Sul
Uruguai,3110,2696,4403,2189,1776,1479,2152,2522,3859,3313,2581,2550,2018,América do Sul
Venezuela,230,345,460,395,414,384,379,469,590,441,583,760,2018,América do Sul
Arábia Saudita,11,17,11,19,6,21,46,48,83,31,71,37,2018,Ásia
Bangladesh,2,1,40,3,3,16,39,29,14,48,9,5,2018,Ásia
China,443,609,736,469,583,586,725,1069,656,559,1020,743,2018,Ásia
"China, Hong Kong",69,351,89,31,36,28,97,56,69,31,55,126,2018,Ásia
Cingapura,34,29,66,74,50,61,79,84,436,128,164,115,2018,Ásia
Filipinas,42,42,75,97,123,103,131,99,118,190,83,70,2018,Ásia
Índia,153,253,301,270,267,188,394,312,245,702,325,268,2018,Ásia
Indonésia,31,24,34,21,10,44,64,16,34,114,60,34,2018,Ásia
Irã,9,32,101,6,10,21,31,34,14,10,29,16,2018,Ásia
Israel,1702,2969,1297,439,415,323,299,325,722,672,830,996,2018,Ásia
Japão,247,515,349,385,309,476,486,611,376,224,287,376,2018,Ásia
Líbano,84,117,97,18,36,28,26,39,23,23,32,34,2018,Ásia
Malásia,51,67,103,121,96,78,84,160,221,127,149,101,2018,Ásia
Paquistão,34,21,17,5,15,19,15,34,12,164,41,9,2018,Ásia
República da Coreia,318,221,319,178,182,173,222,206,168,261,370,291,2018,Ásia
Síria,12,15,16,11,6,9,8,13,6,4,12,5,2018,Ásia
Tailândia,22,80,106,97,91,26,37,156,67,109,37,64,2018,Ásia
Taiwan,73,165,117,49,31,41,70,48,39,83,87,50,2018,Ásia
Alemanha,3877,5055,7282,3092,2811,2345,3233,3375,3735,4078,4486,5448,2018,Europa
Áustria,457,499,618,353,340,290,426,324,356,701,733,859,2018,Europa
Bélgica,437,617,602,478,296,407,941,547,574,549,560,601,2018,Europa
Bulgária,113,117,150,69,43,30,30,69,49,53,92,88,2018,Europa
Croácia,68,53,54,32,32,35,35,37,44,49,89,102,2018,Europa
Dinamarca,425,549,404,271,167,205,489,219,242,381,332,510,2018,Europa
Eslováquia,81,79,127,55,21,50,26,32,97,71,164,62,2018,Europa
Eslovênia,94,37,44,19,17,19,36,14,55,42,71,99,2018,Europa
Espanha,1450,1715,2099,1821,1388,1440,1635,2153,1538,1589,2083,2469,2018,Europa
Estônia,44,94,47,26,17,6,16,14,14,44,70,39,2018,Europa
Finlândia,186,195,167,102,92,76,228,153,117,192,304,362,2018,Europa
França,4794,8186,6307,6014,4378,3151,6052,7380,4231,6043,6148,6966,2018,Europa
Grécia,94,125,146,74,76,78,120,116,115,144,153,252,2018,Europa
Holanda,1046,1274,1154,1259,918,879,1575,1042,998,1132,1247,1463,2018,Europa
Hungria,130,178,191,54,37,65,92,134,56,148,89,130,2018,Europa
Irlanda,403,602,548,457,313,416,518,470,511,356,472,587,2018,Europa
Itália,3748,3341,3540,2324,1532,1751,2559,5029,2401,2449,3457,5793,2018,Europa
Letônia,17,18,23,14,17,8,15,9,21,43,84,29,2018,Europa
Lituânia,48,48,61,41,28,36,25,19,47,97,50,55,2018,Europa
Luxemburgo,11,35,25,44,11,6,41,15,17,15,24,55,2018,Europa
Noruega,620,792,876,406,298,466,329,331,445,637,723,815,2018,Europa
Polônia,1470,1487,923,394,227,259,390,432,453,393,1256,779,2018,Europa
Portugal,2384,2992,3472,2144,1596,1175,1696,2020,1681,2137,2857,4400,2018,Europa
Reino Unido,3638,5479,4260,2730,2120,2212,2345,2788,2737,3462,3520,3694,2018,Europa
República Tcheca,131,219,235,128,58,68,71,80,140,238,292,127,2018,Europa
Romênia,116,233,177,108,103,92,76,97,100,223,377,261,2018,Europa
Rússia,716,1015,760,418,280,237,309,418,479,587,832,901,2018,Europa
Sérvia,80,81,45,36,35,56,68,39,60,47,74,90,2018,Europa
Suécia,1093,1151,870,324,248,368,484,357,470,662,690,1373,2018,Europa
Suíça,1296,1514,1685,1211,1080,649,1185,715,754,1229,1260,2250,2018,Europa
Turquia,221,238,92,78,76,56,180,197,109,97,232,209,2018,Europa
Ucrânia,142,220,177,116,90,87,81,107,90,133,194,254,2018,Europa
Austrália,863,1392,939,889,860,619,777,697,982,991,811,1221,2018,Oceania
Nova Zelândia,232,314,316,153,134,128,155,139,195,225,215,253,2018,Oceania
África do Sul,394,442,854,240,109,195,103,98,157,188,93,256,2019,África
Angola,371,221,282,240,206,154,205,311,234,198,6,12,2019,África
Cabo Verde,6,14,12,5,2,3,1,2,3,5,3,17,2019,África
Egito,29,43,75,48,52,52,61,58,12,28,31,90,2019,África
Gana,1,3,2,3,2,5,22,3,8,1,8,7,2019,África
Marrocos,240,315,300,241,63,182,208,384,158,121,172,246,2019,África
Moçambique,368,252,128,42,33,24,41,52,54,12,2,3,2019,África
Nigéria,39,9,59,35,26,14,18,9,40,22,27,15,2019,África
Quênia,2,9,11,2,8,18,2,5,12,11,6,6,2019,África
Tunísia,37,61,242,68,27,45,55,60,30,17,53,107,2019,África
Costa Rica,197,115,167,239,115,93,129,160,165,176,181,176,2019,América Central e Caribe
Cuba,37,20,35,48,34,31,52,29,36,25,32,48,2019,América Central e Caribe
El Salvador,29,51,43,54,35,70,46,48,77,44,53,47,2019,América Central e Caribe
Guatemala,67,70,83,123,44,96,142,73,87,66,173,142,2019,América Central e Caribe
Haiti,3,7,11,5,12,11,20,10,17,11,8,17,2019,América Central e Caribe
Honduras,26,32,45,40,19,41,47,35,67,41,57,53,2019,América Central e Caribe
Nicarágua,4,9,59,29,7,20,24,29,19,14,27,23,2019,América Central e Caribe
Panamá,138,198,331,134,114,126,156,263,270,195,405,116,2019,América Central e Caribe
República Dominicana,21,13,51,59,25,47,62,80,78,29,33,38,2019,América Central e Caribe
Trinidad e Tobago,10,17,20,40,17,11,6,22,20,22,9,16,2019,América Central e Caribe
Canadá,1209,1496,1633,722,553,503,1073,1391,1848,1005,927,1164,2019,América do Norte
Estados Unidos,8882,10285,14123,7313,7843,9219,8922,9620,8236,9452,9756,13333,2019,América do Norte
México,479,630,964,872,802,706,724,693,660,608,476,507,2019,América do Norte
Argentina,51022,44972,47236,27788,20291,18614,24658,22450,23317,25085,27249,34360,2019,América do Sul
Bolívia,132,95,138,72,78,122,155,84,193,168,69,634,2019,América do Sul
Chile,19037,21203,13301,8811,10116,12553,10734,9885,12720,12516,9742,13123,2019,América do Sul
Colômbia,2288,1882,2196,2028,1775,4643,1757,2293,2519,2538,2489,2599,2019,América do Sul
Equador,264,381,814,560,353,407,417,669,553,658,411,263,2019,América do Sul
Guiana,5,5,10,7,4,11,4,3,6,0,5,1,2019,América do Sul
Guiana Francesa,0,0,0,0,0,0,0,0,0,0,0,0,2019,América do Sul
Paraguai,1525,708,281,214,154,263,197,187,209,165,124,330,2019,América do Sul
Peru,1947,2134,1923,1759,1456,3663,3240,2213,1814,1958,1488,1555,2019,América do Sul
Suriname,0,4,0,0,1,5,2,3,0,0,1,0,2019,América do Sul
Uruguai,3418,4050,3159,4300,2064,2438,2089,2533,3215,1752,1673,2415,2019,América do Sul
Venezuela,568,520,830,471,483,490,331,502,579,708,612,871,2019,América do Sul
Arábia Saudita,26,44,78,15,20,26,65,33,57,31,15,32,2019,Ásia
Bangladesh,4,1,7,15,7,1,5,27,6,10,5,16,2019,Ásia
China,600,537,905,630,1095,831,646,700,781,532,720,597,2019,Ásia
"China, Hong Kong",96,79,217,42,35,40,40,14,30,25,27,49,2019,Ásia
Cingapura,47,58,126,49,109,60,48,64,63,135,120,109,2019,Ásia
Filipinas,73,60,243,92,103,149,141,78,130,134,82,88,2019,Ásia
Índia,211,192,439,246,498,236,403,541,271,194,263,288,2019,Ásia
Indonésia,37,18,34,29,54,90,46,48,58,136,144,100,2019,Ásia
Irã,7,12,22,8,25,10,8,9,8,13,16,18,2019,Ásia
Israel,847,1856,1610,484,516,214,353,299,632,605,552,504,2019,Ásia
Japão,243,389,411,324,303,337,325,580,300,242,288,332,2019,Ásia
Líbano,29,31,78,48,16,32,44,25,19,39,41,78,2019,Ásia
Malásia,72,99,139,128,125,52,62,89,133,80,91,80,2019,Ásia
Paquistão,43,9,27,14,11,82,11,7,16,19,12,18,2019,Ásia
República da Coreia,446,608,655,324,281,185,306,169,329,357,228,385,2019,Ásia
Síria,7,10,14,11,6,6,8,2,7,5,16,11,2019,Ásia
Tailândia,32,45,77,86,30,27,86,108,58,43,54,23,2019,Ásia
Taiwan,41,56,228,20,80,26,27,33,34,60,78,58,2019,Ásia
Alemanha,3391,4787,5741,3729,2316,2304,3060,2848,3541,3972,3754,4384,2019,Europa
Áustria,425,593,568,306,287,218,475,354,289,401,513,581,2019,Europa
Bélgica,443,529,593,564,298,409,1033,493,538,395,494,499,2019,Europa
Bulgária,68,122,157,60,43,67,29,40,50,65,162,212,2019,Europa
Croácia,72,50,72,177,195,120,37,42,38,30,79,82,2019,Europa
Dinamarca,372,491,407,449,254,268,583,304,363,472,457,623,2019,Europa
Eslováquia,83,120,78,84,38,41,67,37,47,54,210,82,2019,Europa
Eslovênia,30,67,53,23,16,19,30,24,24,40,49,42,2019,Europa
Espanha,1553,1574,1710,1862,1356,1212,1734,2380,1467,1570,2117,2124,2019,Europa
Estônia,60,150,51,26,15,22,16,7,20,22,77,48,2019,Europa
Finlândia,204,326,195,87,83,107,66,79,104,118,222,232,2019,Europa
França,4848,9945,7584,6167,4347,2942,6683,7722,3484,6120,5695,6107,2019,Europa
Grécia,102,234,181,198,182,164,80,175,105,63,148,283,2019,Europa
Holanda,952,1015,971,949,802,688,1931,879,872,1612,1356,1917,2019,Europa
Hungria,315,570,414,136,136,128,77,120,95,162,153,176,2019,Europa
Irlanda,803,806,946,589,390,709,401,459,465,550,479,543,2019,Europa
Itália,3266,3382,2939,3367,1875,1769,2178,5304,1770,1902,2644,4982,2019,Europa
Letônia,33,87,61,49,29,21,12,18,30,52,60,57,2019,Europa
Lituânia,58,78,101,69,59,36,43,46,47,55,95,73,2019,Europa
Luxemburgo,14,64,34,36,45,20,20,47,28,27,33,72,2019,Europa
Noruega,451,606,549,714,349,575,731,425,507,652,763,789,2019,Europa
Polônia,798,1233,963,559,402,378,365,467,691,507,1163,516,2019,Europa
Portugal,2706,3266,3494,3319,1984,1706,1703,2654,2466,1936,2534,3909,2019,Europa
Reino Unido,3499,4760,5305,4557,3242,2840,3415,3832,4008,4066,4442,4251,2019,Europa
República Tcheca,260,370,422,216,110,120,103,97,115,236,479,245,2019,Europa
Romênia,290,342,398,218,185,121,61,111,156,303,379,363,2019,Europa
Rússia,816,1062,1340,767,562,385,275,325,475,789,1487,1241,2019,Europa
Sérvia,72,96,86,58,78,38,27,63,31,60,184,176,2019,Europa
Suécia,875,1041,801,603,309,603,657,297,463,520,651,997,2019,Europa
Suíça,1133,1213,1178,1185,554,577,1495,797,912,1106,1132,1803,2019,Europa
Turquia,115,110,156,93,114,103,62,63,63,90,75,153,2019,Europa
Ucrânia,238,260,273,155,98,143,86,79,89,133,223,261,2019,Europa
Austrália,1706,1598,1958,650,573,740,768,838,1180,945,718,1255,2019,Oceania
Nova Zelândia,81,98,140,190,145,136,153,151,211,121,152,156,2019,Oceania
