País,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Ano,Continente
Canadá,1541,1552,1655,0,0,0,0,0,0,0,0,1670,2009,América do Norte
Estados Unidos,16748,14153,18503,11590,10770,14481,13042,14452,10737,10639,13651,13900,2009,América do Norte
México,0,0,0,0,0,1321,0,0,0,0,0,0,2009,América do Norte
Argentina,20059,18469,21066,13440,10824,7473,10973,10876,11069,14008,14135,11450,2009,América do Sul
Bolívia,0,0,0,0,0,0,0,0,0,0,0,0,2009,América do Sul
Chile,3632,6682,5628,3489,4226,3241,3709,3428,5101,4665,4505,3423,2009,América do Sul
Colômbia,1248,0,0,0,0,0,0,0,0,0,0,0,2009,América do Sul
Equador,0,0,0,0,0,0,0,0,0,0,0,1393,2009,América do Sul
Guiana Francesa,0,0,0,0,0,0,0,0,0,0,0,0,2009,América do Sul
Paraguai,0,0,0,0,0,0,0,0,0,0,0,0,2009,América do Sul
Peru,1088,1184,1017,1070,0,0,0,1024,0,1156,1070,0,2009,América do Sul
República da Guiana,0,0,0,0,0,0,0,0,0,0,0,0,2009,América do Sul
Suriname,0,0,0,0,0,0,0,0,0,0,0,0,2009,América do Sul
Uruguai,0,0,0,1353,0,0,883,825,1453,1178,1163,617,2009,América do Sul
Venezuela,0,0,0,0,0,0,0,0,1170,0,0,0,2009,América do Sul
China,0,0,0,0,0,0,0,0,0,0,0,0,2009,Ásia
Índia,0,0,0,0,0,0,0,0,0,0,0,0,2009,Ásia
Israel,0,0,0,0,0,0,0,0,0,0,0,0,2009,Ásia
Japão,0,0,1191,0,0,0,0,0,0,0,0,0,2009,Ásia
República da Coréia,0,0,0,0,0,0,0,0,0,0,0,0,2009,Ásia
Outros,0,0,0,0,0,0,0,0,0,0,0,0,2009,Ásia
Alemanha,4650,3112,5351,4450,2518,2546,2339,2707,2668,3268,4142,2677,2009,Europa
Áustria,0,0,0,0,0,0,0,0,0,0,0,0,2009,Europa
Bélgica,0,0,0,0,0,0,0,0,0,0,0,0,2009,Europa
Dinamarca,0,0,0,0,0,0,0,0,0,0,0,0,2009,Europa
Espanha,2528,1859,2143,2870,1990,1717,2130,3174,2250,2385,2923,2909,2009,Europa
Finlândia,0,0,0,0,0,0,0,0,0,0,0,0,2009,Europa
França,6981,7097,8822,7065,5546,3321,4532,7781,3626,4320,7602,4878,2009,Europa
Grécia,0,0,0,0,0,0,0,0,0,0,0,0,2009,Europa
Holanda,1160,1033,1180,0,1089,0,1035,1574,681,1266,1251,1047,2009,Europa
Hungria,0,0,0,0,0,0,0,0,0,0,0,0,2009,Europa
Inglaterra,4699,4860,6202,4726,3429,3322,3307,4748,3785,4595,4821,4300,2009,Europa
Irlanda,0,0,0,0,0,0,0,0,0,0,0,0,2009,Europa
Itália,6464,4501,4793,2554,2129,1676,1629,4358,2656,2179,3014,2406,2009,Europa
